n,Sgamm,Sbeta,Hepsi,Calph,Cgamm,Cdelt,Hegamm,Halph,Cepsi,Salph,Hbeta,Sepsi,Sdelt,Hdelt,Hgamm,Cbeta,Hebeta,Hedelt,Healph,Heepsi
1339,8.194464578459776,5.469086335458834,13.619765245708516,2.737518627253108,8.194208365064584,10.913415888439747,8.193460001277568,2.7361543907502885,13.626556010502654,2.7376042229459,5.4661899133305845,13.626982080480945,10.91375712498309,10.907977211172954,8.190124799001493,5.468915335491088,5.468415868305364,10.91241918383087,2.7372686141077684,13.625311519197858
1340,8.176152902037188,5.456860355513876,13.58935254047583,2.73139670823798,8.17589726118664,10.889037383249544,8.175150569723101,2.730035522580296,13.59612814160714,2.7314821125129334,5.453970408251204,13.596553260178382,10.889377857535044,10.883610854958228,8.171822820422666,5.456689737811477,5.4561913871698,10.888042905090089,2.731147254197595,13.59488642923036
1341,8.157895745022111,5.444670789524256,13.559030316065869,2.7252930295734963,8.157640675011566,10.86473143336916,8.156895650892494,2.7239348856709085,13.565790798647756,2.725378243000943,5.44178729784237,13.56621496864248,10.86507114766545,10.859317017895536,8.153575332377931,5.444500552948659,5.4440033155255065,10.863739175032764,2.725044132972205,13.564551856931404
1342,8.139692904664505,5.4325175020211685,13.528798236242256,2.7192075233751627,8.139438403795662,10.840497769074258,8.13869504206056,2.7178524121714616,13.535543645220477,2.7192925465233126,5.429640446707023,13.535966869458695,10.840836725641536,10.83509543039496,8.135382132224626,5.432347645438068,5.431851517920289,10.8395077239592,2.718959182553302,13.534307465927691
1343,8.121544179118224,5.420400358141194,13.498655966265945,2.713140122062906,8.121290245699097,10.816336121845314,8.120548541405897,2.7117880345355614,13.50538634641936,2.7132249554978563,5.417529720053164,13.505808627710614,10.816674322935382,10.810945824070794,8.1172430182235,5.4202308804205,5.419735859507258,10.815348283374387,2.7128923353669867,13.504152921343865
1344,8.103449367437527,5.408319223620368,13.468603172888612,2.7070907583575945,8.103195999782407,10.792246224356454,8.102455948007403,2.705741685517603,13.475318568829923,2.707175402643337,5.405454983687938,13.475739909973328,10.792583672212755,10.786867931730384,8.099157789535234,5.40815012363619,5.407656206038911,10.791260585976875,2.706843524140271,13.474087889795888
1345,8.08540826956942,5.396273964794189,13.438639524344644,2.701059365278596,8.085155465998861,10.76822781047233,8.084417061836605,2.699713298170335,13.445339980521137,2.7011438209770304,5.39341610401763,13.445760384305425,10.76856450732999,10.762861487371008,8.081126246212781,5.396105241424814,5.395612423867132,10.767244365655616,2.70081268189864,13.444112039383048
1346,8.067420686352959,5.38426444859239,13.408764690344167,2.695045876146218,8.067168445193735,10.74428061524254,8.066431683756976,2.693702805847295,13.41545025103845,2.695130143817159,5.381412948042446,13.415869720242029,10.744616563328394,10.738926226174309,8.063148189200675,5.384096100720265,5.383604379937966,10.743299357484409,2.694799741968492,13.414225039680977
1347,8.049486419511236,5.372290542535801,13.378978342062975,2.6890502245740464,8.049234739096324,10.720404374892231,8.048499615515915,2.6877101421951517,13.3856490513937,2.6891343047752305,5.369445383353379,13.386067588784687,10.72073957642487,10.715061884496873,8.045223420327012,5.372122569047517,5.371631941788485,10.719425297712483,2.688804637969473,13.384426561731557
1348,8.031605271649639,5.360352114736005,13.349280152139029,2.6830723444734703,8.031354150318187,10.696598826819654,8.03062065974301,2.6817352411582283,13.355936054061626,2.6831562377605698,5.357513278131861,13.356353662397895,10.696933284009456,10.691268199867826,8.027351742301722,5.360184514522277,5.359694977546442,10.69562192376208,2.682827303819012,13.354716278039431
1349,8.013777046248887,5.34844903388907,13.319669794660962,2.6771121700488067,8.013526482346185,10.672863709588157,8.012794619943069,2.6757780369736324,13.326310932968363,2.677195876975436,5.3456165011434935,13.3267276149976,10.673197424637324,10.6675449109808,8.009532958709599,5.348281805844716,5.347793355923999,10.67188897422042,2.676867673727431,13.32509386256053
1350,7.996001547661889,5.336581169273451,13.29014694516218,2.671169635795909,7.995751539539349,10.64919876291956,7.99502130049299,2.669838464169861,13.29677336348555,2.671253156913634,5.333754921735966,13.297189121945278,10.649531738022164,10.64389175768733,7.991766874007168,5.336414312297378,5.335926946215639,10.6482261888331,2.670925682196568,13.295558990696126
1351,7.97827858110853,5.324748390748256,13.260711280614244,2.665244676501469,7.97802912712365,10.62560372768964,7.9773005066365315,2.663916457566105,13.26732302242367,2.665328012359817,5.321928409837307,13.267737860041318,10.625935965031644,10.62030848099232,7.974053293517468,5.324581903743439,5.324095618296422,10.624633308499558,2.6650012640190703,13.266111339286228
1352,7.960607952671827,5.312950568748713,13.231362479418497,2.659337227241971,7.960359051188171,10.602078345922202,7.959632044480488,2.658011952271202,13.23795958802373,2.6594203783884387,5.310136835951363,13.238373507516664,10.602409847681502,10.59679482304814,7.956392023426216,5.312784450622181,5.312299242617462,10.601110075267158,2.6590943542773515,13.236750586601223
1353,7.942989469293064,5.3011875742833885,13.202100221397036,2.65344722338021,7.94274111868023,10.57862236078176,7.942015720989807,2.652124883680161,13.208682739948182,2.653530190360274,5.298380071155013,13.209095744023749,10.578953129128225,10.573350527147294,7.938782870776937,5.301021823946201,5.300537690203137,10.577656232323871,2.65320488834011,13.207476412332824
1354,7.925422938767951,5.289459278932789,13.172924187789908,2.64757460056599,7.925175137401548,10.555235516567972,7.924451343983764,2.646255187474853,13.179492159278144,2.6476573839231143,5.286657987096776,13.17990425063372,10.555565553663474,10.549975337716877,7.921225643467133,5.28929389530002,5.2888108326496965,10.554271523992714,2.647332801863026,13.178288497591272
1355,7.907908169740359,5.277765554844836,13.14383406124294,2.6417192947340298,7.907660916001982,10.531917558712154,7.906938722129689,2.6404027996219237,13.15038752850121,2.641801895009675,5.274970455992282,13.150798709824244,10.532246866710606,10.526669000315056,7.903720150242021,5.277600536835559,5.277118542120737,10.530955695728249,2.6414780307866703,13.14918652489316
1356,7.890444971700931,5.266106274730685,13.114829525803549,2.6358812421015285,7.8901982639781245,10.50866823376718,7.889477664941576,2.634567656370358,13.121368531507263,2.635963659835161,5.263317350620098,13.12177880547532,10.50899681481457,10.503431261621015,7.8862662006931314,5.265941621267952,5.265460691343018,10.507708494106488,2.635640511334066,13.120170178157238
1357,7.873033154979407,5.25448131186577,13.085910266911352,2.630060379166423,7.87278699166565,10.485487289405736,7.872067982772421,2.62874969424974,13.092434853579084,2.630142614895524,5.251698544322774,13.092844222859888,10.48581514564016,10.48026186943319,7.868863605250658,5.254317021876595,5.25383715360751,10.484529666823171,2.629820180008952,13.091239142695033
1358,7.855672530744636,5.242890540083883,13.057075971394331,2.624256642710173,7.855426910239312,10.46237447441266,7.854709486814221,2.622948850073034,13.063586181388509,2.6243386969702462,5.240113911000917,13.063994648639984,10.462701607964364,10.457160572661612,7.85151217518345,5.242726612499228,5.24224780276347,10.461418962686082,2.624016973598558,13.062393105206992
1359,7.838362910994118,5.231333833774389,13.028326327457346,2.618469969789055,7.838117831702489,10.439329538678331,7.837401989087524,2.617165060927884,13.03482220298493,2.6185518431136376,5.228563325110417,13.035229770855254,10.43965595166974,10.434127121321298,7.834211722588579,5.23117026752914,5.230692513215663,10.438376131608434,2.618230829164912,13.033631753771006
1360,7.8211041085561,5.219811067880481,12.999661024679,2.6127002977400844,7.820859568889278,10.416352233195877,7.820145302443523,2.611398264182533,13.006142607792183,2.612781990660752,5.217046661660695,13.006549278919818,10.416677927741617,10.41116126652946,7.816962060393414,5.219647861913433,5.219171159922612,10.415400924606097,2.612461684050751,13.00495477783927
1361,7.803895937080865,5.2083221178953485,12.971079754001549,2.6069475641733493,7.8036519354557905,10.3934423100521,7.802939240555344,2.605648397478162,12.977547086598427,2.6070290772197287,5.205563796210881,12.977952863612163,10.393767288259069,10.388262760496469,7.799763002346928,5.208159271149194,5.207683618392772,10.392493093788518,2.606709475871861,12.97636186822818
1362,7.786738211039338,5.196866859861137,12.942582207726364,2.6012117069758447,7.78649474587875,10.370599522425078,7.785783617916658,2.599915398732719,12.949035331551618,2.60129304067562,5.194114604868767,12.949440217070627,10.370923786392437,10.365431356523386,7.782614363018305,5.196704371282441,5.1962297646834825,10.369652392356318,2.6009741425209105,12.947852717113811
1363,7.769630745716816,5.185445170363717,12.914168079505592,2.595492664306596,7.7693878154492335,10.347823624575774,7.768678249835408,2.594199206136048,12.920607036151155,2.5955738191855167,5.182698964285586,12.921011032785024,10.348147176395008,10.342666808993645,7.765515957790666,5.185283038902906,5.184809475395747,10.3468785745929,2.595255622162572,12.919427018023557
1364,7.75257335720949,5.1740569265313,12.885837064334837,2.5897903745963093,7.752330960269178,10.32511437184456,7.751622952430328,2.588499758149538,12.892261895240573,2.589871351178201,5.171316751654619,12.892665005589334,10.325437213599503,10.319968873369543,7.7484676028575965,5.173895151142637,5.173422627672836,10.324171395860985,2.589553853233175,12.89108446582881
1365,7.735565862421304,5.16270200603129,12.85758885854793,2.584104776546328,7.735323997248252,10.302471520644264,7.734617542627808,2.58281699350508,12.86399960500229,2.5841855753530987,5.159967844708058,12.864401831656494,10.302793654411134,10.297337306185298,7.731469115220007,5.162540585672868,5.1620690991971525,10.301530612595634,2.5838687744396607,12.86282475673975
1366,7.718608079058035,5.151380287068206,12.829423159807892,2.57843580912654,7.718366744097934,10.279894828455962,7.7176618381559745,2.577150851202978,12.835819862948584,2.578516430678191,5.148652121714926,12.836221208489318,10.280216256303396,10.27477186504285,7.714520312680218,5.1512192207019245,5.150748768188148,10.27895598230009,2.5782003247574923,12.834647588296278
